url,meta_category,meta_subCategoryContainer,meta_subCategory
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_family_products/16251/,Leisure & safety products,,Books & games
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/39269/,Bathroom,Bathroom textiles,Bathrobes & slippers
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10769/,Decoration,,Vases & bowls
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10768/,Decoration,,"Plants, plant pots & stands"
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/25227/,Decoration,,Paper shop
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10757/,Decoration,,Frames & pictures
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/24924/,Decoration,,Decorative accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10759/,Decoration,,Clocks
https://www.ikea.com/tw/zh/catalog/categories/departments/decoration/10760/,Decoration,,Candle holders & candles
https://www.ikea.com/tw/zh/catalog/categories/range/10372/31787/,Outdoor,,Outdoor pots & plants
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/19053/,Bedroom,Bedroom storage,Wardrobes
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/10454/,Hallway,Clothes & shoe storage,"Shoe, coat & hat racks"
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/10456/,Hallway,Clothes & shoe storage,Shoe cabinets
https://www.ikea.com/tw/zh/catalog/categories/departments/hallway/10455/,Hallway,Clothes & shoe storage,Racks & stands
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/29879/,Bedroom,,Bedroom storage
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/16274/,Bedroom,Bedroom storage,Hooks & hangers
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/11466/,Bedroom,Bedroom storage,Open clothes & shoe storage system
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/10452/,Bedroom,Bedroom storage,Clothes organisers
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/29880/,Bedroom,,Bedroom storage
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/10451/,Bedroom,Bedroom storage,Chests of drawers
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15928/,Cooking,,Ovenware
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/20633/,Cooking,Cookware,Pots & sauce pans
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15935/,Cooking,,Mixing & measuring tools
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15934/,Cooking,,Knives & chopping boards
https://www.ikea.com/tw/zh/catalog/categories/departments/Textiles/18850/,Textiles & rugs,,Kitchen textiles
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/20647/,Cooking,,Kitchen utensils
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/20624/,Cooking,Cookware,Frying pans & woks
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15938/,Cooking,,Dish-washing accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/15927/,Cooking,Cookware,Cooking accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/small_storage/15937/,Small storage,,Food storage & organising
https://www.ikea.com/tw/zh/catalog/categories/departments/cooking/20636/,Cooking,,Bakeware
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/10728/,Dining,,Stools & benches
https://www.ikea.com/tw/zh/catalog/categories/departments/ikea_kitchens/20611/,IKEA Kitchens (PILOT),Products,Step stools & step ladders
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/19145/,Dining,,Dining sets
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/20652/,Workspaces,,Office chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/19141/,Dining,,Café furniture
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/16244/,Dining,,Bar tables & chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/16239/,Living room,Sofas & armchairs,Armchairs & chaise longues
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/24828/,Bedroom,Mattresses,Spring mattresses
https://www.ikea.com/tw/zh/catalog/categories/departments/living_room/10663/,Living room,Sofas & armchairs,Sofa-beds
https://www.ikea.com/tw/zh/catalog/categories/departments/dining/25219/,Dining,,Dining chairs
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/24827/,Bedroom,Mattresses,Slatted bed bases
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/24826/,Bedroom,Mattresses,Mattress pads
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/16285/,Bedroom,Beds,Single beds
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/24825/,Bedroom,Mattresses,Mattress bases
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/24824/,Bedroom,Mattresses,Mattress & pillow protectors
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/19039/,Bedroom,Beds,Loft beds & bunk beds
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/19064/,Bedroom,Beds,Headboards
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/19037/,Bedroom,Beds,Guest beds & day beds
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/24823/,Bedroom,Mattresses,Foam & latex mattresses
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/16284/,Bedroom,Beds,Double beds
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/25205/,Bedroom,Beds,Beds with storage
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/24822/,Bedroom,Mattresses,Bed legs
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/28433/,Bedroom,Beds,Divan beds
https://www.ikea.com/tw/zh/catalog/categories/departments/bedroom/20489/,Bedroom,,Mirrors
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20490/,Bathroom,,Bathroom mirrors
https://www.ikea.com/tw/zh/catalog/categories/departments/laundry/20081/,Laundry,,Washing machines
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20723/,Bathroom,,Wash-basins
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20719/,Bathroom,,Wash-stands
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20724/,Bathroom,,Taps
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/20802/,Bathroom,,Bathroom storage
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/40690/,Bathroom,,Showers
https://www.ikea.com/tw/zh/catalog/categories/departments/bathroom/10555/,Bathroom,,Bathroom accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/16195/,Workspaces,Desks & tables,Cable management & accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/20649/,Workspaces,Desks & tables,Desks & computer desks
https://www.ikea.com/tw/zh/catalog/categories/departments/eating/16043/,Eating,,Serveware
https://www.ikea.com/tw/zh/catalog/categories/departments/workspaces/10712/,Workspaces,,Desks & tables
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18682/,Baby & children products,Baby,Cot mattresses
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/24710/,Baby & children products,Children 8-12,Children's textiles 8-12
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18714/,Baby & children products,Children 3-7,Children's tableware
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18730/,Baby & children products,Children 3-7,Children's textiles
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/24709/,Baby & children products,Children 8-12,Children's mattresses 8-12
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18724/,Baby & children products,Children 3-7,Children's mattresses
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/24712/,Baby & children products,Children 8-12,Children's lighting 8-12
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18773-2/,Baby & children products,Children 3-7,Children's lighting
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/24713/,Baby & children products,Children 8-12,Children's desks & chairs 8-12
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18723/,Baby & children products,Children 3-7,Children's beds
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/24711/,Baby & children products,Children 8-12,Children's accessories 8-12
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/24708/,Baby & children products,Children 8-12,Children's beds 8-12
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18701/,Baby & children products,Baby,Changing tables & nursing
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18716/,Baby & children products,Baby,Baby toys
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/18690/,Baby & children products,Baby,Baby textiles
https://www.ikea.com/tw/zh/catalog/categories/departments/childrens_ikea/31772/,Baby & children products,Baby,Baby tableware
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/21958/,Outdoor,,Outdoor organising
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/17887/,Outdoor,,Parasols & gazebos
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/21957/,Outdoor,,Outdoor flooring
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/21964/,Outdoor,,Outdoor dining furniture
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/21959/,Outdoor,,Lounging & relaxing furniture
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/17893/,Outdoor,,Outdoor cushions
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/24898/,Outdoor,,Barbeques
https://www.ikea.com/tw/zh/catalog/categories/departments/outdoor/34203/,Outdoor,,Outdoor textiles
https://www.ikea.com/tw/zh/catalog/categories/departments/pets/39569/,Pets,,Cats
https://www.ikea.com/tw/zh/catalog/categories/departments/lighting/36812/,Lighting,,
https://www.ikea.com/tw/zh/catalog/categories/departments/pets/39570/,Pets,,Dogs
https://www.ikea.com/tw/zh/catalog/categories/departments/home_electronics/40843/,Home electronics,,Mobile & tablet accessories
https://www.ikea.com/tw/zh/catalog/categories/departments/secondary_storage/16292/,Storage,,Tools & fittings
https://www.ikea.com/tw/zh/catalog/categories/departments/home_electronics/40845/,Home electronics,,Cables & chargers
https://www.ikea.com/tw/zh/catalog/categories/range/35169/35170/,Home Page,,
