URL,Category
https://www.ikea.com/gb/en/products/ikea-family-products/safety/,Safety
https://www.ikea.com/gb/en/products/ikea-family-products/travel/,Travelbags & backpacks
https://www.ikea.com/gb/en/products/ikea-family-products/games-leisure/,Games & leisure
https://www.ikea.com/gb/en/products/ikea-family-products/books/,Books
https://www.ikea.com/gb/en/products/ikea-family-products/bathrobes-slippers/,Bathrobes & slippers
https://www.ikea.com/gb/en/products/lighting/floor-lamps/,Floor lamps
https://www.ikea.com/gb/en/products/lighting/table-lamps/,Table lamps
https://www.ikea.com/gb/en/products/lighting/shades-bases/,"Shades, bases & cords"
https://www.ikea.com/gb/en/products/lighting/ceiling-lights/,Ceiling lights
https://www.ikea.com/gb/en/products/lighting/work-lamps/,Work lamps
https://www.ikea.com/gb/en/products/lighting/smart-lighting/,Smart lighting
https://www.ikea.com/gb/en/products/lighting/decorative-lighting/,Decorative lighting
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/childrens-lighting/,Children's lighting
https://www.ikea.com/gb/en/products/lighting/light-bulbs-accessories/,Light bulbs & accessories
https://www.ikea.com/gb/en/products/lighting/wall-lights/,Wall lights
https://www.ikea.com/gb/en/products/lighting/integrated-lighting/,Integrated lighting
https://www.ikea.com/gb/en/products/lighting/bathroom-lighting/,Bathroom lighting
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-8-12/childrens-lighting-8-12/,Children's lighting 8-12
https://www.ikea.com/gb/en/products/smart-home-appliances/cables-chargers/,Cables & chargers
https://www.ikea.com/gb/en/products/mattresses/mattresses-toppers/,Mattresses & toppers
https://www.ikea.com/gb/en/products/mattresses/slatted-bed-bases/,Slatted bed bases
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/childrens-mattresses/,Children's mattresses
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-8-12/childrens-mattresses-8-12/,Children's mattresses 8-12
https://www.ikea.com/gb/en/products/mattresses/bed-legs/,Bed legs
https://www.ikea.com/gb/en/products/beds/headboards/,Headboards
https://www.ikea.com/gb/en/products/parasols-gazebos/parasols-bases/,Parasols & bases
https://www.ikea.com/gb/en/products/parasols-gazebos/gazebos/,Gazebos
https://www.ikea.com/gb/en/products/parasols-gazebos/garden-canopies-sunshields/,Garden canopies & sunshields
https://www.ikea.com/gb/en/products/small-storage-organisers/storage-boxes-baskets/,Storage boxes & baskets
https://www.ikea.com/gb/en/products/small-storage-organisers/clothes-organisers/,Clothes organisers
https://www.ikea.com/gb/en/products/small-storage-organisers/shoe-cabinets/,Shoe cabinets
https://www.ikea.com/gb/en/products/small-storage-organisers/racks-stands/,"Clothes, Shoe & hat racks"
https://www.ikea.com/gb/en/products/small-storage-organisers/underbed-storage/,Underbed storage
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/small-storage/,Children's Small Storage
https://www.ikea.com/gb/en/products/small-storage-organisers/hooks-hangers/,Hooks & hangers
